param_group,tested_param,tested_value,LND,PDR,Avg_E2E_Delay_Sec
sink,visit_period,2.0,4691,0.9991311902693311,10.829192546583851
sink,visit_period,3.0,14327,0.9983676544450025,10.143378191422462
sink,visit_period,5.0,15160,0.9984408132717975,5.231432319320382
sink,visit_period,7.0,4219,0.99920982251398,5.26187724314131
sink,visit_period,10.0,4040,0.9986333463490824,7.360703812316716
sink,energy_weight,0.4,15160,0.9984408132717975,5.231432319320382
sink,energy_weight,0.5,15160,0.9984408132717975,5.231432319320382
sink,energy_weight,0.6,15160,0.9984408132717975,5.231432319320382
sink,energy_weight,0.7,15160,0.9984408132717975,5.231432319320382
sink,energy_weight,0.8,15160,0.9984408132717975,5.231432319320382
