param_group,tested_param,tested_value,LND,PDR,Avg_E2E_Delay_Sec
optimizer,go_iterations,5.0,6743,0.9984760137821362,8.358218859911076
optimizer,go_iterations,10.0,6770,0.9984498046753891,11.942615824121228
optimizer,go_iterations,15.0,15160,0.9984408132717975,5.231432319320382
optimizer,go_iterations,20.0,13100,0.9982971745711403,5.234064059637374
optimizer,go_iterations,25.0,6348,0.998841027622175,9.488815831882937
optimizer,population_size,5.0,1421,0.9991332879341299,10.068777495507776
optimizer,population_size,10.0,15160,0.9984408132717975,5.231432319320382
optimizer,population_size,15.0,1758,0.998858592263792,8.360843067546977
optimizer,population_size,20.0,2811,0.9989140155870704,7.859563854959391
optimizer,alpha,0.3,5163,0.9989583333333333,5.989695148132245
optimizer,alpha,0.4,2806,0.9987964781149047,11.412354134956875
optimizer,alpha,0.5,2105,0.9987556772226716,13.019373325858094
optimizer,alpha,0.6,15160,0.9984408132717975,5.231432319320382
optimizer,alpha,0.7,1428,0.9993631384537002,4.7444557736426205
optimizer,alpha,0.8,3707,0.9988838593662801,8.312123657582719
optimizer,G0,50.0,15160,0.9984408132717975,5.231432319320382
optimizer,G0,100.0,15160,0.9984408132717975,5.231432319320382
optimizer,G0,150.0,15160,0.9984408132717975,5.231432319320382
optimizer,G0,200.0,15160,0.9984408132717975,5.231432319320382
