round,alive,avg_energy,generated_cum,delivered_cum
1,100,0.499855921230685,9,9
2,100,0.49951249985409796,31,28
3,100,0.4993174592231249,41,37
4,100,0.49901947531822094,63,58
5,100,0.4985534758189981,92,86
6,100,0.49805139552369954,121,115
7,100,0.4977755113583725,139,133
8,100,0.49745126286895525,158,151
9,100,0.4971046727743291,180,173
10,100,0.4967909546047331,198,191
11,100,0.49638389440039754,220,211
12,100,0.49589336454684885,249,240
13,100,0.49545793180239833,274,265
14,100,0.495030655711811,301,292
15,100,0.49467305838820813,318,308
16,100,0.4942671496953676,340,327
17,100,0.49390659740186726,361,347
18,100,0.49348848635824516,385,371
19,100,0.4929949002296283,411,397
20,100,0.4925996938076986,431,414
21,100,0.49224011115863425,448,431
22,100,0.49186017156341144,475,458
23,100,0.49147616399440913,496,479
24,100,0.4910443903272558,517,498
25,100,0.49067451950112756,536,517
26,100,0.49013624341273543,569,550
27,100,0.4896738571625881,593,574
28,100,0.4891221686011798,623,603
29,100,0.48866012707527956,646,626
30,100,0.4881057406187049,675,655
31,100,0.4876414031495115,698,677
32,100,0.4871402991327778,722,701
33,100,0.48677303836544816,742,721
34,100,0.48629909104198105,764,743
35,100,0.4859571241070297,782,759
36,100,0.48549290023165637,804,776
37,100,0.48500256869009967,825,797
38,100,0.48457519046747777,845,817
39,100,0.48415187613866556,868,840
40,100,0.48372753060686696,887,857
41,100,0.48322834698673717,914,884
42,100,0.4826600422375876,941,911
43,100,0.4822155808313514,963,933
44,100,0.4817066866566394,987,957
45,100,0.4812914538780217,1009,979
46,100,0.4805921250708306,1038,1005
47,100,0.4802762545995818,1054,1018
48,100,0.4799157600672968,1072,1035
49,100,0.47968037322113655,1087,1050
50,100,0.47900185316139826,1127,1088
51,100,0.4785714746106774,1152,1112
52,100,0.47815340188520833,1176,1136
53,100,0.4778499613889832,1194,1154
54,100,0.4774158953790294,1217,1176
55,100,0.47706027226334863,1238,1194
56,100,0.47662680447455635,1263,1216
57,100,0.47629279549059844,1286,1239
58,100,0.4759366824930543,1303,1256
59,100,0.4755865602664035,1323,1276
60,100,0.4751893615851074,1349,1302
61,100,0.474823011159392,1367,1320
62,100,0.4742888394027657,1398,1349
63,100,0.4740303990188815,1414,1365
64,100,0.4736978616052668,1430,1381
65,100,0.47316223558033627,1457,1405
66,100,0.4726990273494653,1485,1431
67,100,0.4722311043715813,1509,1452
68,100,0.4718777822807049,1531,1474
69,100,0.4715172578835805,1548,1490
70,100,0.4710415396646957,1568,1507
71,100,0.470518678447189,1599,1538
72,100,0.46997048176793554,1627,1566
73,100,0.4696182695887285,1648,1587
74,100,0.4693277441580038,1666,1605
75,100,0.4688804927719672,1692,1631
76,100,0.46844777517333896,1714,1653
77,100,0.4680496940017874,1740,1676
78,100,0.4675866984073046,1761,1697
79,100,0.4672544731294534,1778,1714
80,100,0.4668699386682327,1800,1736
81,100,0.46627382919329236,1831,1762
82,100,0.4658859928800733,1850,1781
83,100,0.46548530319680714,1874,1805
84,100,0.46498558059102885,1901,1830
85,100,0.46454611124526374,1923,1849
86,100,0.4640306063563419,1946,1872
87,100,0.46357942076549674,1972,1898
88,100,0.4632124935480135,1991,1917
89,100,0.4627595188630994,2019,1945
90,100,0.4622393076718276,2048,1974
91,100,0.46183194854585247,2070,1996
92,100,0.46132795355666284,2094,2017
93,100,0.4607887754310198,2120,2043
94,100,0.4602333873148971,2145,2068
95,100,0.45978610955825977,2167,2090
96,100,0.4593886532361816,2185,2107
97,100,0.4588655409022413,2212,2133
98,100,0.45846551794718526,2232,2152
99,100,0.45808628611809626,2248,2167
100,100,0.4575150247141872,2284,2203
101,100,0.45713769409583216,2308,2225
102,100,0.4567581681265439,2330,2247
103,100,0.4563799169090239,2352,2269
104,100,0.4560399089884756,2367,2284
105,100,0.45573313216381545,2384,2301
106,100,0.4551792163316255,2417,2334
107,100,0.4550068943517416,2429,2345
108,100,0.4545385904118421,2456,2372
109,100,0.4540384033272076,2482,2396
110,100,0.4537183166505268,2499,2412
111,100,0.45324429240976605,2525,2438
112,100,0.45290143198618776,2548,2460
113,100,0.45262075706259325,2562,2474
114,100,0.45217325989288354,2585,2496
115,100,0.45170420168758396,2609,2520
116,100,0.45127213822991147,2631,2542
117,100,0.450935742603689,2653,2562
118,100,0.4504383415760529,2681,2590
119,100,0.4500107832171521,2704,2613
120,100,0.44960810928226536,2725,2634
121,100,0.44904590001169276,2753,2660
122,100,0.4486689048835941,2774,2681
123,100,0.44828196067514176,2799,2704
124,100,0.4476782653713793,2827,2732
125,100,0.4472201374129379,2848,2752
126,100,0.4466200022031219,2875,2776
127,100,0.4463616234934271,2890,2791
128,100,0.4459760946098544,2911,2812
129,100,0.44562049277814586,2932,2833
130,100,0.44510368288261226,2955,2856
131,100,0.4447085302470129,2977,2878
132,100,0.44421118207967053,3002,2903
133,100,0.4437065672333293,3027,2928
134,100,0.44318121424080137,3050,2950
135,100,0.442602423932779,3078,2976
136,100,0.44216206875304537,3103,3001
137,100,0.4417260832847492,3124,3022
138,100,0.44112708614901663,3152,3049
139,100,0.44077106138844485,3170,3067
140,100,0.44022872167638233,3197,3094
141,100,0.43973765652765934,3219,3115
142,100,0.439223153361074,3241,3137
143,100,0.43878182230558155,3261,3155
144,100,0.4384026819072506,3282,3175
145,100,0.4380257029240062,3300,3192
146,100,0.43752487856304073,3320,3212
147,100,0.4369534984823121,3345,3237
148,100,0.4363917345083966,3371,3263
149,100,0.43574207033233414,3399,3291
150,100,0.4349897418149781,3435,3327
151,100,0.4347324344548853,3448,3340
