round,EC,avg_RE,TH,PDR,CA,RL,EE,PLR,LB,FI,CE
50,130.81692588298745,0.3459153705850628,32.04,0.8485169491525424,0.4725,269.2941249192688,0.24492243479761172,0.1514830508474576,0.5903838561367288,0.856321728783766,0.003611917928897364
100,164.27032557858755,0.1786483721070623,24.92,0.8622837370242215,0.27,235.86182748300712,0.15170116642934503,0.13771626297577855,0.5679895777715687,0.8427205343681506,0.0016436322205426628
150,175.5565157656267,0.12221742117186654,20.413333333333334,0.877615362568071,0.205,202.01699125953735,0.11627784502505026,0.12238463743192896,0.4802907597217324,0.7873410087940526,0.0011677151321098287
200,180.5987079520774,0.09700646023961297,17.11,0.8824136152656008,0.1475,186.29445936161028,0.09474043415936402,0.1175863847343992,0.596690209681266,0.860097572228157,0.0008167278806841726
250,183.37434034411373,0.08312829827943129,14.828,0.8864179818268771,0.1175,182.25373583477372,0.08086191324355581,0.11358201817312286,0.6318684615767334,0.8806531539964948,0.0006407657678795392
300,184.38666766027987,0.07806666169860071,13.113333333333333,0.8892405063291139,0.1125,168.2108693160199,0.07111866329453806,0.11075949367088611,0.7194222204556812,0.9270212784972023,0.0006101308810855769
350,185.31107644637464,0.0734446177681268,11.825714285714286,0.8908738699956952,0.1125,165.33995128708767,0.06381547456574412,0.10912613000430482,0.6833889710560384,0.908890503982422,0.0006070872942803032
400,186.15866808210816,0.06920665958945921,10.8725,0.8943039276166975,0.1125,161.7272430424528,0.05840447888896861,0.10569607238330248,0.6269717610469157,0.8778474662113633,0.0006043231892397304
450,187.05855518271002,0.06470722408644988,10.142222222222221,0.8964839913572972,0.1125,150.35614076907115,0.05421950475515955,0.10351600864270283,0.556674418574844,0.8357447556304283,0.0006014159571055988
500,187.89862241282515,0.060506887935874276,9.55,0.8987389422172031,0.1075,166.5045104360698,0.050825279490437386,0.10126105778279693,0.5211318801772895,0.8134613694724265,0.0005721170204420962
550,188.70898957099394,0.05645505214503034,9.038181818181819,0.9005434782608696,0.105,177.3490006557758,0.047894813271635785,0.09945652173913044,0.5130697873677031,0.8083414160638324,0.0005564122845377119
600,189.19276292472856,0.05403618537635717,8.568333333333333,0.9020880856290577,0.0975,180.71452392277354,0.0452889064088688,0.09791191437094227,0.5424621629098298,0.8268967194013357,0.0005153474080760211
650,189.5576583596387,0.05221170820180652,8.167692307692308,0.9042752512348833,0.0975,173.5717963625769,0.04308816841467906,0.09572474876511672,0.5297070855727379,0.8188831671787061,0.0005143553726276672
700,189.91313930958023,0.05043430345209887,7.81,0.9054322623385227,0.09,163.28495265346783,0.04112406349762247,0.0945677376614773,0.5704064683859384,0.8442020104248792,0.0004739008597677365
750,190.40748107407472,0.04796259462962633,7.448,0.9060827250608272,0.085,159.07516477878863,0.03911611013383705,0.09391727493917279,0.7272222238345898,0.9307453640557759,0.0004464110313340694
800,190.85619963979272,0.04571900180103641,7.12875,0.9075429662635264,0.085,158.06890254015497,0.03735141962092011,0.09245703373647363,0.6739367779218823,0.9038998739154984,0.0004453614824167224
850,191.13893282119804,0.044305335894009756,6.830588235294118,0.9083229036295369,0.0775,163.50732904786526,0.03573624763136995,0.09167709637046306,0.7331587998489919,0.9335288039728902,0.00040546422885230713
900,191.29973648288063,0.04350131758559686,6.542222222222223,0.9087822194783145,0.0775,158.39426065342533,0.03419880415155556,0.0912177805216855,0.7244941298056954,0.9294514000519459,0.00040512340176137907
950,191.45244979697242,0.042737751015137916,6.288421052631579,0.9095615103532277,0.0775,162.6866346467241,0.032845863603731346,0.09043848964677226,0.7138351688720997,0.9243081209120194,0.000404800252397844
1000,191.58644568119922,0.04206777159400391,6.054,0.9101022248947684,0.0775,160.97967302380664,0.03159931266783813,0.08989777510523156,0.7026036600919322,0.9187422268686423,0.000404517134416494
1050,191.73428970035994,0.04132855149820029,5.839047619047619,0.9100489832269556,0.0775,161.22946641961516,0.030453851672399408,0.0899510167730444,0.6883093738688997,0.911451530092253,0.00040420521608897433
1100,191.888851816714,0.04055574091642998,5.654545454545454,0.9106881405563689,0.0775,163.83326020361255,0.029467816400019383,0.08931185944363107,0.668951196005515,0.9012311001006921,0.000403879637958465
1150,192.0269487278751,0.03986525636062459,5.477391304347826,0.9113136574074074,0.0775,161.76763595435088,0.028524076129074663,0.08868634259259256,0.6493517102796897,0.8905082499746694,0.00040358918637939026
1200,192.16849177097114,0.039157541145144255,5.318333333333333,0.9119748499571306,0.0775,162.41332756368956,0.027675365947461308,0.08802515004286937,0.6306374057554824,0.8799495974516626,0.0004032919199489034
1250,192.31864845357237,0.03840675773213813,5.176,0.9126816194103541,0.07,165.58298378107867,0.026913666675697015,0.08731838058964592,0.7082378989667238,0.9215527115278723,0.0003639792633884836
