round,alive,avg_energy,generated_cum,delivered_cum
1,500,0.49957409813438153,25,20
2,500,0.4992905031079112,48,43
3,500,0.49886532064966943,81,76
4,500,0.4985014892549493,110,105
5,500,0.49782216520585426,153,147
6,500,0.4975300840183658,179,173
7,500,0.49722232327718113,210,196
8,500,0.4968284837522469,245,226
9,500,0.4963903499833932,281,262
10,500,0.4959353803696154,321,298
11,500,0.4955303900808582,354,331
12,500,0.49500321038478434,399,370
13,500,0.494672878124285,427,398
14,500,0.49430707028633064,461,430
15,500,0.493733020655422,509,473
16,500,0.49309658913104026,570,534
17,500,0.4921786781827648,624,583
18,500,0.49151478296488144,679,638
19,500,0.49048782770098265,752,707
20,500,0.48948054040417255,827,769
21,500,0.48909611778737533,859,801
22,500,0.48864951812535273,900,839
23,500,0.4879521263988122,951,882
24,500,0.487244146779652,1001,925
25,500,0.48654054713441797,1044,966
26,500,0.48591857599418087,1096,1018
27,500,0.48542724390959624,1136,1057
28,500,0.48460434528127305,1193,1113
29,500,0.48402885661490525,1239,1159
30,500,0.4833613562991471,1292,1212
31,500,0.4826364668498783,1341,1261
32,500,0.48197229344013437,1396,1314
33,500,0.4813881380352607,1434,1351
34,500,0.48081717442035266,1479,1396
35,500,0.4802549842298662,1522,1437
36,500,0.4796381479552998,1566,1477
37,500,0.4790058352981539,1615,1526
38,500,0.47832582043639776,1664,1569
39,500,0.4777104712180487,1705,1601
40,500,0.47678874474454497,1760,1648
41,500,0.47616412219036325,1804,1687
42,500,0.47562812371106633,1843,1724
43,500,0.4748417275711405,1901,1782
44,500,0.4740744377562143,1951,1826
45,500,0.4733846692973971,2000,1875
46,500,0.4728403314759974,2038,1911
47,500,0.4722783924878128,2081,1951
48,500,0.47150125410515353,2141,2007
49,500,0.47096048067376184,2189,2042
50,500,0.4705103598112274,2223,2075
51,500,0.4697729882820006,2271,2116
52,500,0.46916898055487877,2318,2163
53,500,0.46868563253927387,2357,2198
54,500,0.467994984784105,2408,2248
55,500,0.4673747419250109,2462,2296
56,500,0.46670219574654914,2516,2348
57,500,0.4658873782207239,2570,2399
58,500,0.46532894016355086,2618,2438
59,500,0.4646270010071332,2672,2491
60,500,0.4640515292986769,2713,2532
61,500,0.46344011148969944,2756,2575
62,500,0.4628444132990604,2802,2620
63,500,0.46220304634596904,2850,2662
64,500,0.4615988068070484,2893,2702
65,500,0.46083406238963526,2943,2751
66,500,0.46020695524388133,2993,2801
67,500,0.4594045854252978,3050,2858
68,500,0.45878863677696213,3094,2900
69,500,0.458306573697024,3135,2941
70,500,0.45789804536025425,3166,2970
