round,EC,avg_RE,TH,PDR,CA,RL,EE,PLR,LB,FI,CE
50,4.542828348552675,0.4697144776763155,12.32,0.913946587537092,0.9525,173.1308388587368,2.7119668749811114,0.08605341246290799,0.8882637715761629,0.9876689680039434,0.20967114029379127
100,9.169468411077617,0.4388702105928159,12.8,0.9288824383164006,0.9525,197.11579412020316,1.3959369754233895,0.0711175616835994,0.8861686696238034,0.9872081791614367,0.10387734133521706
150,13.258961808468207,0.41160692127687865,12.626666666666667,0.9339250493096647,0.95,214.41366616077084,0.9523118664239829,0.06607495069033531,0.8645030368165658,0.9819715647102679,0.07164965204087516
200,17.55805160300332,0.3829463226466445,12.71,0.9352465047829286,0.9425,198.34123915694573,0.7238844199447474,0.06475349521707141,0.7968804662582439,0.9603771946853314,0.05367907677403024
250,21.953759324225814,0.35364160450516124,12.536,0.9358017318602568,0.91,185.08581844609478,0.5710183761633305,0.06419826813974316,0.8015363623519365,0.9621047939158806,0.041450759597050954
300,26.29279864689095,0.32471467568739365,12.38,0.9345747357825868,0.905,192.82988843108254,0.47085135995836264,0.06542526421741324,0.8017107598114662,0.9621688460949716,0.03442007114396754
350,30.02496713275837,0.29983355244827753,12.208571428571428,0.9385020865363497,0.9025,184.34487934913145,0.4066139814438437,0.0614979134636503,0.7648290718920833,0.9475930216608391,0.03005831766641098
400,33.82041865160243,0.27453054232265045,12.015,0.9366595205612941,0.88,190.21393515894292,0.3552587602114359,0.06334047943870591,0.747975326353897,0.9402769586168627,0.026019784351732297
450,37.61091500659315,0.24926056662271232,11.784444444444444,0.932969739619986,0.8775,199.35010384525958,0.31332511964621557,0.06703026038001403,0.7037227180431482,0.9193033431201705,0.02333099313978868
500,41.4142480225229,0.22390501318318068,11.64,0.9347895920334083,0.8575,173.92873229889602,0.28106269112189736,0.06521040796659172,0.6783123761054306,0.9062215419917199,0.020705434504899225
550,45.010362456188325,0.1999309169587445,11.412727272727272,0.9347728965003723,0.825,199.31190749089538,0.25355777314248606,0.06522710349962768,0.6552342268413198,0.8937641232446791,0.01832911256386858
600,48.71215095635601,0.1752523269576266,11.168333333333333,0.9355018846851878,0.7925,214.34279536366748,0.2292720217454507,0.0644981153148122,0.642928651119612,0.886918000842665,0.01626904138784686
650,52.64686785229654,0.14902088098468974,10.86,0.9359586316626889,0.7675,211.97697150139734,0.20628007786651775,0.06404136833731111,0.621772222312587,0.8748475837586405,0.014578265171505744
700,56.23425239192777,0.12510498405381484,10.505714285714285,0.9358615423771952,0.6975,208.26045725931868,0.18682055577967183,0.06413845762280479,0.6209551553824445,0.8743742803192661,0.012403472444849711
750,59.86384948391478,0.10090767010723482,10.152,0.9359557467732023,0.6575,159.60298976835423,0.16958481767410913,0.06404425322679774,0.5553668811083743,0.8349345914772797,0.010983256266817057
800,62.600193690232274,0.0826653753984515,9.73375,0.9351507145430528,0.525,213.15065304909086,0.15549073295469357,0.06484928545694724,0.639941230245069,0.8852359586315944,0.008386555520864428
850,63.86249054264534,0.07425006304903108,9.301176470588235,0.9351786136740005,0.49,222.8676733794752,0.14564381049901592,0.06482138632599954,0.6584268294696736,0.8955179258466716,0.007672735526541884
900,65.05318901517713,0.06631207323215253,8.898888888888889,0.9347572362278245,0.4375,181.38337522649024,0.13679404535898693,0.06524276377217553,0.5861566388528556,0.8537767854032512,0.0067252659957673985
950,65.79758224444393,0.061349451703707134,8.52,0.9345341184620714,0.365,176.70058911945384,0.12948804058403596,0.06546588153792865,0.5536900049131428,0.8338943971397105,0.005547316292625954
1000,66.19506131999385,0.05869959120004097,8.155,0.9343492208982584,0.3375,201.64069834702775,0.12319650193505942,0.06565077910174155,0.6165438793026171,0.8718102451400384,0.005098567676650222
1050,66.55812395657738,0.056279173622817494,7.824761904761905,0.9344858962693358,0.31,174.90874468649332,0.11756283740609624,0.06551410373066424,0.6162721182589725,0.871651809915191,0.004657583200545804
1100,66.93267189446276,0.0537821873702483,7.525454545454545,0.9348390739695087,0.3025,191.5937951322727,0.11243320089358505,0.06516092603049128,0.5456131211193338,0.8288661346426597,0.004519466972377437
1150,67.14697820664692,0.05235347862235382,7.233913043478261,0.9349291975724882,0.28,185.58967007007553,0.10773251807721962,0.06507080242751184,0.5831354504104218,0.8519512710247236,0.004169956824241461
1200,67.27350379454036,0.051509974703064246,6.9525,0.9351042367182246,0.27,179.70307366618468,0.10334678005227127,0.06489576328177538,0.5850119195830031,0.8530857469109455,0.004013467186495972
1250,67.30681002234897,0.05128793318434018,6.6872,0.9351157847633964,0.27,184.78180393986634,0.09935398807014537,0.06488421523660359,0.5797656173955432,0.8499087233094096,0.004011481154883845
1300,67.34134198623727,0.051057720091751586,6.4423076923076925,0.9351272889682894,0.25,184.7489473299357,0.09566645840862993,0.06487271103171055,0.6516616030678023,0.8917904668833413,0.0037124297292901167
1350,67.3623789965288,0.050917473356474625,6.211111111111111,0.9349910793933988,0.25,184.75962362272125,0.09220445007488781,0.06500892060660124,0.6486394109964418,0.8901118919431776,0.0037112703518514772
1400,67.39733413927127,0.050684439071524895,6.0007142857142854,0.935106856634016,0.25,184.78320332549976,0.08903489080613015,0.06489314336598395,0.6418587892344424,0.8863165015062733,0.003709345528168737
1450,67.43226435200815,0.050451570986612335,5.80551724137931,0.9351255276605199,0.25,184.80750365246638,0.08609405745406236,0.06487447233948007,0.6347360432793134,0.8822872174639755,0.003707424070693467
1500,67.46680938143786,0.050221270790414316,5.624666666666666,0.9352621660569782,0.25,184.84178593324341,0.08336938886299522,0.0647378339430218,0.624872070096332,0.8766385748484877,0.0037055257584002856
1550,67.5016971292687,0.04998868580487525,5.452903225806452,0.9351626466032308,0.25,184.88312235317022,0.08078172042643467,0.06483735339676922,0.6137799818829897,0.8701963727922013,0.0037036105850974245
1600,67.52831689134553,0.04981122072436312,5.288125,0.9349171270718232,0.25,184.91859301951968,0.07830974091222655,0.06508287292817683,0.6054901419171033,0.8653228568662091,0.003702150616344477
1650,67.557684325402,0.04961543783065339,5.138181818181818,0.9350391529723172,0.25,184.96906457122645,0.07605621580267573,0.06496084702768279,0.5929005999930281,0.857831631125356,0.0037005412855158934
1700,67.58191877485773,0.04945387483428185,4.9941176470588236,0.9351250137680361,0.25,185.00647509050677,0.07389724555907058,0.06487498623196386,0.5824210801141969,0.8515188275798041,0.003699214294770906
1750,67.60194813763256,0.049320345749116284,4.857142857142857,0.935093509350935,0.25,185.0499399542585,0.07184915510502854,0.06490649064906495,0.5733107119139422,0.8459780626992068,0.0036981182774647042
1800,67.63808431595899,0.049079437893606755,4.730555555555555,0.9348924022837066,0.25,178.8687078161912,0.06993923029306429,0.06510759771629338,0.5554091229401519,0.8349607776751817,0.0036961425286998156
1850,67.6680581414267,0.0488796123904887,4.6113513513513515,0.9350065760631302,0.25,185.24760306467277,0.06814664818242007,0.0649934239368698,0.539190101474492,0.8248471936526139,0.0036945053082134897
1900,67.69394344150335,0.048707043723310965,4.497368421052632,0.9350038297406719,0.2325,180.0633325288581,0.0664367917188775,0.06499617025932813,0.5910160481571762,0.8567013821305417,0.003434576096174855
