round,alive,avg_energy,generated_cum,delivered_cum
1,300,0.49983218741468705,6,6
2,300,0.499577705613465,22,21
3,300,0.4993072028014842,32,31
4,300,0.4990564499870925,44,43
5,300,0.4986755256521548,63,62
6,300,0.4982671370694671,80,79
7,300,0.49782089224993264,106,105
8,300,0.4974228176972764,129,128
9,300,0.49690278660835957,154,153
10,300,0.4964422324779927,176,175
11,300,0.49604521080703023,201,199
12,300,0.4956538918080143,225,223
13,300,0.4953073330319332,244,242
14,300,0.49461590139133366,282,277
15,300,0.49413572990407423,313,306
16,300,0.49353496888323073,342,328
17,300,0.4929878437710515,372,353
18,300,0.49244991789707815,392,371
19,300,0.4916966234134595,433,410
20,300,0.49067257239241835,477,452
21,300,0.49012033735376226,510,483
22,300,0.4895259683327631,536,508
23,300,0.4889184488193796,562,531
24,300,0.48836708168750725,590,559
25,300,0.4879218025448506,613,581
26,300,0.48728148149829387,641,606
27,300,0.4867361552373663,670,631
28,300,0.48613620010464426,707,668
29,300,0.4856143001365233,738,699
30,300,0.4849094986112586,767,723
31,300,0.48452301534268427,793,749
32,300,0.4838923376273625,823,779
33,300,0.48332681384837256,853,808
34,300,0.4828621015762129,883,838
35,300,0.48233545420787655,914,865
36,300,0.481810359655427,942,893
37,300,0.4811645608836043,976,927
38,300,0.4806092936069867,1007,956
39,300,0.4801989592947905,1032,979
40,300,0.4796490411763658,1061,1008
41,300,0.47925270413342846,1084,1031
42,300,0.4787151788932749,1112,1054
43,300,0.478169483409411,1143,1085
44,300,0.4774534908393754,1177,1112
45,300,0.47695972471211123,1203,1137
46,300,0.4765209724883914,1230,1162
47,300,0.4758730103904305,1262,1194
48,300,0.4751794448368876,1302,1234
49,300,0.474843397477066,1325,1253
50,300,0.47433672265280963,1355,1283
51,300,0.47380564816259096,1384,1310
52,300,0.4733014767949053,1414,1338
53,300,0.4728680035247004,1439,1362
54,300,0.4723619534557442,1468,1383
55,300,0.47182633566553894,1492,1406
56,300,0.4712064393530041,1519,1431
57,300,0.47081858132967985,1540,1451
58,300,0.47026566305879913,1569,1480
59,300,0.4697051586672332,1597,1506
60,300,0.4693816265731188,1618,1525
61,300,0.46889463046643337,1648,1553
62,300,0.46842648516875046,1674,1574
63,300,0.4678319479938046,1706,1604
64,300,0.46740643566429024,1728,1622
65,300,0.4668081238926112,1767,1661
66,300,0.4661322861009753,1806,1697
67,300,0.46570026624745897,1830,1719
68,300,0.4651624853763066,1864,1753
69,300,0.46472946921767033,1886,1775
70,300,0.46429333190955835,1908,1797
71,300,0.4638768117037828,1934,1819
72,300,0.46330315094686114,1957,1836
73,300,0.4627010104367643,1990,1864
74,300,0.4623529257537266,2009,1882
75,300,0.4618349623937353,2038,1910
76,300,0.4613272827171301,2063,1935
77,300,0.46091063773190816,2091,1963
78,300,0.46032142509739543,2117,1989
79,300,0.4597886390448097,2145,2014
80,300,0.4591668377558372,2181,2050
81,300,0.45865294855401106,2206,2074
82,300,0.4580983341457888,2234,2100
83,300,0.45746944056571937,2267,2129
84,300,0.45693345196745727,2304,2166
85,300,0.45639502093422457,2332,2189
86,300,0.45590075111316236,2356,2212
87,300,0.4555214835546272,2375,2227
88,300,0.4548366735041666,2404,2251
89,300,0.45411745456552344,2439,2286
90,300,0.45359627089535515,2467,2314
91,300,0.45295993185431344,2507,2347
92,300,0.4522262147758311,2541,2381
93,300,0.45173897768513105,2568,2405
94,300,0.451191369889943,2599,2436
95,300,0.4506372786625218,2628,2465
96,300,0.45020749252771625,2649,2486
97,300,0.4496582767380822,2677,2514
98,300,0.4489746584415336,2696,2532
99,300,0.44845880098669655,2719,2554
100,300,0.44783202913215214,2749,2581
101,300,0.44742111952103963,2769,2601
102,300,0.4468335130790076,2804,2636
103,299,0.4474106938879249,2843,2671
104,299,0.4467916714890011,2870,2695
105,299,0.4464002250313883,2894,2718
106,299,0.44577028311192485,2924,2748
107,298,0.4464251061000113,2953,2774
108,298,0.4460445195286787,2974,2795
109,298,0.44549824711770664,3005,2826
110,298,0.4449940625008799,3035,2856
111,298,0.44434033209169127,3066,2885
112,298,0.4437186377054176,3096,2914
113,298,0.44318523147967637,3124,2940
114,298,0.4425889975778432,3154,2965
115,298,0.4422211108467504,3169,2979
116,298,0.4416360895177655,3198,3008
117,298,0.4410338050885959,3225,3032
118,298,0.4405777889112337,3245,3052
119,298,0.4400775078800091,3270,3076
120,298,0.43956882659524893,3300,3102
