round,EC,avg_RE,TH,PDR,CA,RL,EE,PLR,LB,FI,CE
50,7.698983204157173,0.4743367226528094,25.66,0.9468634686346864,0.995,194.92037706882726,3.332907647615665,0.0531365313653136,0.9495485963142851,0.9974611181940519,0.12923784526023332
100,15.650391260354297,0.44783202913215236,25.81,0.9388868679519825,0.995,194.8439948525906,1.6491600478629636,0.06111313204801749,0.9062329749636516,0.991284375013065,0.06357668530118747
150,23.899916190575254,0.4203336126980825,25.85333333333333,0.9380745041122399,0.995,189.49276207628438,1.08173322145491,0.061925495887760085,0.8967259931757053,0.9894470324065064,0.041631945152693486
200,32.15077716857019,0.3928307427714327,25.97,0.9389009399855387,0.995,188.27760864032874,0.8077565237019414,0.061099060014461304,0.8536105579140214,0.9790197355591536,0.030947929960856053
250,40.61884219134723,0.36460385936217593,26.012,0.9400115640358485,0.995,188.6176741411593,0.6403924532723676,0.05998843596415149,0.8143985120974527,0.9666992297034467,0.02449602072143648
300,49.54217316898335,0.3348594227700555,26.04,0.9412048192771084,0.995,204.34737686372554,0.5256127927852536,0.05879518072289158,0.7675148247477133,0.9487221766533935,0.020083898956272172
350,58.73570591931282,0.3042143136022906,26.03142857142857,0.9409273985335124,0.995,201.19229113067266,0.4431959770295228,0.05907260146648763,0.726529020872777,0.930417450327595,0.016940291845080818
400,67.91178890165737,0.27362737032780876,26.0575,0.9421495073668986,0.995,210.50572268046795,0.3836962686660147,0.05785049263310138,0.7172627635325941,0.9259770733968452,0.014651359006914883
450,77.08066936454226,0.2430644354515258,25.81111111111111,0.9412479740680713,0.9725,210.95794941010104,0.33485841941824696,0.05875202593192874,0.754925915722433,0.9433416667506972,0.012616652242609584
500,86.21586902460861,0.21261376991797132,25.416,0.940566945451854,0.96,214.23759500376192,0.29479491754291204,0.05943305454814596,0.7590982152274263,0.9451495055807311,0.011134841078108103
550,95.65096380153472,0.18116345399488426,24.885454545454547,0.9399766499553602,0.93,235.9437727412173,0.26016940714877834,0.06002335004463977,0.7925118615228764,0.958725590515856,0.009722850278117931
600,105.17612764084478,0.14941290786385075,24.33,0.9405927835051546,0.8775,236.85388957025873,0.23132625763787415,0.05940721649484537,0.7603684642575703,0.9456950925965708,0.008343148009750702
650,114.46521081284575,0.11844929729051414,23.60923076923077,0.9411259659021219,0.8125,227.97174387192598,0.20625682337520532,0.05887403409787806,0.776063382008491,0.9522470855967773,0.00709822656360161
700,123.02471457835773,0.08991761807214087,22.777142857142856,0.940982058545798,0.6925,261.78493901872355,0.18514282219801848,0.05901794145420203,0.7615770781269411,0.9462121093103264,0.005628950267215846
750,131.9208249780055,0.060263916739981695,21.716,0.939978068909794,0.5525,261.9891738451835,0.16461388869892682,0.06002193109020604,0.7198621986986717,0.927233335473697,0.004188118138983103
800,135.4542535278078,0.04848582157397402,20.575,0.9396049777371847,0.395,198.8939951640984,0.15189630051577596,0.060395022262815345,0.6374293788811473,0.883815821193358,0.0029161136672530502
850,136.4889541990462,0.04503681933651265,19.51529411764706,0.9393510391301886,0.3075,204.3011102207984,0.14298075790944434,0.06064896086981142,0.6010145462518738,0.8626718003462865,0.0022529295634543655
900,137.18490037289297,0.042716998757023394,18.538888888888888,0.9395236218255533,0.29,217.571930484642,0.13513796954691726,0.06047637817444673,0.6615716269319074,0.8972361650870538,0.002113935274302991
950,137.6851181412228,0.041049606195923974,17.641052631578948,0.9394058295964126,0.2625,224.13640728184023,0.12812606670740279,0.06059417040358739,0.6506161053452226,0.8912107059998705,0.0019065241294324586
1000,137.88132662940373,0.04039557790198753,16.798,0.9393803825075495,0.21,203.86859649375037,0.12182940511697803,0.060619617492450484,0.6737901495065997,0.9038217380010387,0.0015230488793049998
1050,137.94172709528797,0.04019424301570673,16.003809523809522,0.9393482028061938,0.2075,202.43693789629955,0.11601862511663598,0.0606517971938062,0.6533021584034227,0.8926982159788868,0.0015042583877223914
1100,137.9631614868693,0.04012279504376902,15.27909090909091,0.939358372456964,0.1925,201.02237424977943,0.11074761367037174,0.060641627543036036,0.6641151282353663,0.8986190181335104,0.0013953000056346294
1150,137.9658814868693,0.04011372837710235,14.614782608695652,0.939358372456964,0.1925,201.030519734477,0.10593041157125932,0.060641627543036036,0.66301098659285,0.8980194758412975,0.0013952724972682532
1200,137.9686014868693,0.040104661710435675,14.005833333333333,0.9393058738053988,0.1725,200.74883354801094,0.10151464305932167,0.06069412619460124,0.7247146476830635,0.9295563381567447,0.0012502844715463549
1250,137.9709814868693,0.04009672837710234,13.4456,0.9393058738053988,0.1725,192.93007834104642,0.09745237625405759,0.06069412619460124,0.7238663395983002,0.9291523227045312,0.001250262904134061
1300,137.9733614868693,0.040088795043769006,12.928461538461539,0.9393058738053988,0.1725,192.92828900706647,0.09370259156650264,0.06069412619460124,0.7230127871296477,0.9287449108753815,0.0012502413374658307
1350,137.9757414868693,0.04008086171043567,12.44962962962963,0.9393058738053988,0.1725,192.92650035701448,0.09023056876135302,0.06069412619460124,0.7221539414938121,0.9283340655557828,0.0012502197715416245
1400,137.9781214868693,0.040072928377102336,12.005,0.9393058738053988,0.1725,192.92471261351437,0.0870065476369198,0.06069412619460124,0.7212897533005742,0.9279197491398399,0.0012501982063614046
1450,137.9805014868693,0.040064995043769,11.591034482758621,0.9393058738053988,0.1725,192.92292600652914,0.08400487284691935,0.06069412619460124,0.720420172543321,0.927501923521702,0.0012501766419251324
1500,137.9828814868693,0.04005706171043567,11.204666666666666,0.9393058738053988,0.1725,192.92114077358954,0.08120330975790589,0.06069412619460124,0.7195451485894012,0.9270805500878665,0.001250155078232769
1550,137.9852614868693,0.040049128377102325,10.843225806451613,0.9393058738053988,0.1725,192.91935716003073,0.07858249272139443,0.06069412619460124,0.7186646301702959,0.9266555897093464,0.0012501335152842765
1600,137.9876414868693,0.04004119504376899,10.504375,0.9393058738053988,0.1725,192.91757541923647,0.07612547679496051,0.06069412619460124,0.7177785653716064,0.9262270027337062,0.0012501119530796156
1650,137.9900214868693,0.040033261710435655,10.186060606060606,0.9393058738053988,0.1725,192.91579581289216,0.07381737096859485,0.06069412619460124,0.7168869016228506,0.9257947489769548,0.0012500903916187486
