round,EC,avg_RE,TH,PDR,CA,RL,EE,PLR,LB,FI,CE
50,3.5116679525666257,0.4648833204743337,7.18,0.9573333333333334,0.8925,195.51919355580418,2.0446124454199164,0.04266666666666663,0.8749382348175055,0.9846004113110534,0.25415273085477375
100,8.45979973029717,0.4154020026970283,7.04,0.9386666666666666,0.88,196.29890865865235,0.8321709998391065,0.06133333333333335,0.8191087413985422,0.9683151335894019,0.10402137497988831
150,12.421853497558544,0.37578146502441456,6.666666666666667,0.9398496240601504,0.8625,184.17881971381547,0.5366885600427479,0.06015037593984962,0.7844243726954581,0.9555909634545785,0.06943408245553051
200,16.272841110351187,0.3372715888964881,6.495,0.9440406976744186,0.83,189.49663588008195,0.3991312860462035,0.05595930232558144,0.7745631852774136,0.9516361770463805,0.05100522977957643
250,19.333655093301054,0.30666344906698945,6.192,0.941033434650456,0.805,181.36237629095788,0.3202705318843448,0.05896656534954403,0.8070124677911572,0.9640931344482491,0.04163723807604935
300,22.249214107093795,0.27750785892906205,6.0633333333333335,0.9400516795865633,0.7775,190.945818551879,0.272518988947126,0.05994832041343667,0.7101754325302735,0.9225106889320301,0.03494505452002041
350,24.404348154416372,0.2559565184558363,5.9,0.9327009936766034,0.7375,186.92364229995684,0.2417601962842141,0.06729900632339658,0.7650803872637165,0.9476991161667765,0.030220024535526763
400,25.618988943752747,0.24381011056247254,5.665,0.9321266968325792,0.72,174.32537978507486,0.2211250417585829,0.0678733031674208,0.7294146271130091,0.9317784921873586,0.028104153586262965
450,27.185436749773327,0.22814563250226672,5.584444444444444,0.9348958333333334,0.705,168.42835046121274,0.20542044241724414,0.06510416666666663,0.7630342940706152,0.946832741750068,0.02593300252959439
500,28.654866335699992,0.2134513366430001,5.476,0.9367088607594937,0.6975,173.27789077201936,0.19110192090401285,0.06329113924050633,0.7364504176189443,0.9350527486454457,0.02434141523567366
550,29.927480591679295,0.20072519408320705,5.3545454545454545,0.93819687798662,0.6925,187.88412864191483,0.1789173478249343,0.06180312201338001,0.712897445321367,0.9238490816230293,0.02313926820129774
600,31.37017017650078,0.18629829823499222,5.285,0.937888198757764,0.66,156.6830015554076,0.16847214950586925,0.06211180124223603,0.7629934902849281,0.9468154040324851,0.021039095302530505
