round,EC,avg_RE,TH,PDR,CA,RL,EE,PLR,LB,FI,CE
50,8.551865036112417,0.9572406748194379,51.2,0.9477971121806739,1.0,63.83249288405026,5.98699813243018,0.05220288781932614,0.9836035275219023,0.9997312279481118,0.11693355727402696
100,17.53729174582847,0.9123135412708576,51.62,0.9412837345003647,1.0,56.518487988431424,2.9434419377939958,0.05871626549963527,0.965648730804673,0.9988213810864153,0.05702134710953111
150,26.59035461067063,0.8670482269466468,51.61333333333334,0.9420783645655877,1.0,61.18521048389333,1.941054720369207,0.05792163543441231,0.9453617225639555,0.9970235443749081,0.03760762181030496
200,35.86603300726844,0.8206698349636578,51.715,0.943188035746854,1.0,55.82230714122464,1.4418935037928418,0.05681196425314605,0.9249469061257433,0.9943985856813524,0.027881533477575975
250,45.02785814976923,0.7748607092511538,51.848,0.9433083472818572,1.0,62.67020686207231,1.1514649403830397,0.056691652718142804,0.9035180656393699,0.9907770902293249,0.022208473622570588
300,54.242274013603264,0.7287886299319837,51.906666666666666,0.9426720745807857,1.0,61.00724128845253,0.9569411978127824,0.057327925419214276,0.879653658128756,0.9857235276028703,0.018435805249411425
350,63.70986398049513,0.6814506800975244,51.89142857142857,0.9434315100514259,1.0,62.885494673920775,0.8144959874237875,0.05656848994857411,0.8523328118771318,0.9786597387201322,0.015696156568567647
400,73.6653710516948,0.631673144741526,52.045,0.9448983297022513,1.0,61.0228149910445,0.7065056383613045,0.055101670297748706,0.820209236724945,0.9686874507818165,0.013574899382482554
450,85.00902138524997,0.5749548930737501,52.12888888888889,0.9449726071543667,1.0,55.435115537973246,0.6132159627229146,0.055027392845633294,0.7765791225073869,0.9524563429292907,0.011763457380224723
500,97.31531347350065,0.5134234326324968,52.262,0.9463638997537303,1.0,66.18816367422255,0.5370377809473034,0.05363610024626975,0.7205960398555018,0.9275865007749838,0.010275875032476815
550,111.40783588693398,0.4429608205653301,52.25272727272727,0.9462022190761532,1.0,57.2495320779064,0.4690220113938639,0.053797780923846794,0.6397528034444773,0.8851296115434769,0.008976029307443723
600,128.48607515394542,0.35756962423027283,52.35166666666667,0.9461144578313253,1.0,61.537287701447475,0.4074501194307756,0.053885542168674694,0.5086318510195132,0.805514450217092,0.007782944562683943
650,148.3740329053865,0.2581298354730675,52.286153846153844,0.9455526806332248,1.0,62.29772356583859,0.35239423517924523,0.05444731936677516,0.46454927972862425,0.7771774240312063,0.006739723794106673
700,156.0123150507971,0.21993842474601444,51.12428571428571,0.9462453728186145,1.0,58.482497956532214,0.3276939111995089,0.05375462718138546,0.6867357146999515,0.9106352533934182,0.006409750407680338
750,163.43804191130494,0.18280979044347528,50.11333333333334,0.9470355532038199,1.0,52.36954693924322,0.30661976090321125,0.052964446796180065,0.7164989648002078,0.9256063886375017,0.006118526557866394
800,170.77946886063128,0.14610265569684355,49.11,0.9466075558982266,1.0,55.979120873364735,0.2875638408272449,0.05339244410177335,0.7665308189101051,0.9483096706407194,0.005855504802020869
850,178.24775235908194,0.10876123820459027,48.209411764705884,0.9460682458327562,1.0,61.58565993840383,0.2704629434405856,0.05393175416724383,0.8151144188318492,0.9669471565836946,0.005610168918065736
900,185.70525827186648,0.07147370864066764,47.44111111111111,0.9466344448385953,1.0,55.457483051467605,0.2554645547066786,0.05336555516140473,0.7990616347726865,0.9611907446680203,0.0053848771397524585
950,189.994265690784,0.05002867154608003,46.14421052631579,0.9467830068465044,0.805,46.15899142061109,0.24287159593235078,0.053216993153495595,0.979143274045744,0.9995651861278156,0.004236969979452637
1000,190.17313620196697,0.04913431899016511,43.883,0.9466928420416793,0.34,90.04176102458673,0.2307528859039036,0.05330715795832075,0.9827850136207618,0.9997037320446768,0.0017878445231029607
1050,190.17491780196698,0.04912541099016512,41.79333333333334,0.9466519975839158,0.31,49.03962454239585,0.21976259443873447,0.05334800241608417,0.9905457813140418,0.9999106257375105,0.0016300782646994979
1100,190.176277801967,0.04911861099016512,39.89363636363636,0.9466519975839158,0.31,39.828985452265705,0.2097718854565979,0.05334800241608417,0.9904829978640923,0.99990943487313,0.0016300666075860786
1150,190.17763780196697,0.04911181099016511,38.15913043478261,0.9466519975839158,0.31,58.010638251859376,0.2006499337977787,0.05334800241608417,0.9904193749766151,0.9999082200484939,0.0016300549506393844
1200,190.17899780196697,0.04910501099016511,36.56916666666667,0.9466519975839158,0.31,52.44279912693166,0.1922881447968617,0.05334800241608417,0.9903548957029283,0.9999069806165092,0.0016300432938594113
1250,190.179841001967,0.049100794990165106,35.1064,0.9466111566504163,0.295,67.43634509467432,0.18459580055930797,0.053388843349583714,0.9941323778764747,0.9999655721959299,0.001551163353832801
1300,190.180507401967,0.049097462990165104,33.75615384615384,0.946590737505123,0.28,54.11177992044301,0.17749534012340484,0.053409262494876986,1.0,1.0,0.0014722854819615653
1350,190.180847401967,0.049095762990165104,32.50592592592593,0.946590737505123,0.28,84.44398984142087,0.1709211330687852,0.053409262494876986,1.0,1.0,0.0014722828498507578
1385,190.18108540196698,0.049094572990165106,31.684476534296028,0.9465703192407248,0.0,,0.16660161796493947,0.05342968075927523,1.0,0.0,0.0
